Specified Values,Specified Attribute Names,eventStatus,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"1, 2","N20, M0P5","70.8325,89.0775",0.5549584969308572,0.5080152987810542,1,325.119221934693,49988,41188,0.02,0.0009812123412480458,270,732,True
"0, 1, 2, 2","N5, N22, M0P5, M0P6","79.07,87.1675",1.0,0.9454305312987524,1,355.0859112227087,49988,41188,0.04,0.0010716520426621106,60,84,True
1,N42,"-7.63951760069841,18.439696733970326",1.0,0.8561118668448207,1,297.6793779835095,49951,41190,0.01,0.0009253188388051061,2389,3842,True
"0, 0, 0","N13, N95, M0P6","71.19772643100195,87.1675",0.12716101876875943,0.15539395312522766,1,335.0803529276895,49998,41198,0.03,0.001066414380509612,481,2245,True
"1, 1, 0, 1, 1, 2","N0, N20, N51, N66, N70, M0P5","79.07,87.1675",1.0,0.9988892835939646,1,334.7102996543691,49732,41231,0.06,0.0010101582884252502,22,23,True
"0, 0, 0, 0, 0","N7, N11, N21, N86, M0P5","71.19772643100195,87.1675",0.41990795953393495,0.3345890527633791,1,324.2132226066632,49971,41233,0.05,0.000978478028227317,244,883,True
"0, 0, 0, 0","N11, N21, N86, M0P5","71.19772643100195,87.1675",0.5045744228415321,0.365532762125661,1,320.0349097502769,49971,41240,0.04,0.0009658678475191916,302,1049,True
"0, 0, 0, 0","N33, N95, M0P5, M0P6","63.95139104944798,87.1675",1.0,0.828302729679154,1,392.17944907983815,49944,41286,0.04,0.0011836006285051157,403,654,True
1,N71,"0,36.5625",1.0,0.856277779018653,2,296.27669605744603,49983,41302,0.01,0.0017883307475074948,3253,4293,True
"0, 2","N62, M0P5","81.90180536330581,99.0",0.5017432981008538,0.36849895334518107,2,325.65704781352287,49988,41316,0.02,0.001965671007869351,427,1415,True
"0, 0, 1, 0, 2","N0, N3, N9, N96, M0P5","76.54308002857317,87.1675",1.0,0.9227993132431918,1,324.5524289877462,49950,41416,0.05,0.0009795017557244737,47,71,True
"0, 0, 1, 0, 0, 2","N0, N3, N9, N54, N74, M0P5","71.28057153281134,87.1675",1.0,0.8845815414158625,2,352.4431745032952,49760,41416,0.06,0.0021273524853645067,58,94,True
"0, 0, 0","N2, N4, N54","0.9024999999999999,20.239046285116878",1.0,0.8974144261642365,1,285.12395367678323,49983,41458,0.03,0.0008605063104798306,4443,6524,True
